canonical_id,game_code,bruns_long_name,canonical_p1,canonical_p2,canonical_8vec,nash_count,dominance_level,is_symmetric,canon_l1_p1,canon_l1_p2,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_matrix_code,nagel_lk_type,nagel_lk_type_description,nagel_emp_class,nagel_emp_class_description,nagel_rgg_class,nagel_rgg_class_description,nagel_swap_sr,nagel_swap_sc,nagel_role_relative_to_canonical,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary,nagel_entropy_4outcome,nagel_utility_efficiency,nagel_quality_level,nagel_n_pure_NE,nagel_p1_has_dominant,nagel_p2_has_dominant,clean_grif_n_games,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components,delta1_uniform,delta1_canonical,abs_delta1,sign_delta1c,llm_rank_8vec,mgn_rank_8vec,mgn_p_paired,payoff_scale_llm,payoff_scale_mgn,payoff_scale_griffiths,nagel_pcanon,grif_rank_clean
11,AsPd,Alibi,"1,4,3,2","4,3,2,1","1,4,3,2,4,3,2,1",1,2,False,-1,0,128,55,P128,14324321,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),B1,Breakaway: 4 games (DD+OD1) incl. Prisoner's Dilemma; NE ≠ NES; ~30% cooperate (off-equilibrium),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.388026608,0.388026608,0.9635,1.9018,0.388,0.6452,1,False,True,0,,,,,,1,2,1,"(1,0)",,,1.25,1.2,1,0,"(1,0)",True,0.0,0.0,-1,0,1,-1,"(0,1)","(0,0);(0,1)",bruns,,,,,,,,,0.0,1.0,0.0,,,,,0,0,,,1,0,0.3944244848990815,3,0.0,-0.0,0.0,0,"1,4,3,2,4,3,2,1","1,4,3,2,4,3,2,1",55,rank_1to4_pm1,rank_1to4,cardinal,0.611973392,False
12,AsSh,AsymAssurance,"1,4,3,2","3,4,2,1","1,4,3,2,3,4,2,1",2,0,False,-1,-1,139,70,P139,14323421,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B2,"Breakaway: 3 CO1 games (Stag Hunt-like); one NE is Lk(α), other is NES; frequencies near 50-50",C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.516629712,0.516629712,0.9992,1.9984,0.5166,0.5166,2,False,False,0,,,,,,2,0,2,"(0,1);(1,0)",True,False,1.25,0.6000000000000001,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.3437457694579421,4,0.0,0.0,0.0,0,"1,4,3,2,3,4,2,1","1,4,3,2,3,4,2,1",70,rank_1to4_pm1,rank_1to4,cardinal,0.516629712,False
13,BaAs,,"3,2,1,4","2,4,3,1","3,2,1,4,2,4,3,1",0,0,False,-1,-1,144,78,P144,14323124,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.266075388,0.733924612,0.8358,1.7759,0.2661,0.357,0,False,False,0,,,,,,2,0,0,,,,1.25,1.7999999999999998,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.5678259637502947,3,0.0,0.0,0.0,0,"3,2,1,4,2,4,3,1","1,4,3,2,3,1,2,4",78,rank_1to4_pm1,rank_1to4,cardinal,0.733924612,False
14,BaBa,Battle,"3,2,1,4","4,2,1,3","3,2,1,4,4,2,1,3",2,0,True,-1,-1,77,77,P77,41233124,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A3,Level-k(α) class: 2 OD2 games; L1(α) is neither NE nor NES; two salient near-equal splits exist,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.388026608,0.611973392,0.9635,1.927,0.388,0.388,2,False,False,0,,,,,,2,0,2,"(0,0);(1,1)",False,True,1.25,0.2,0,1,"(0,1)",False,1.0,3.0,-1,-1,-1,-1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,-0.0169508502148298,4,0.0,0.0,0.0,0,"3,2,1,4,4,2,1,3","4,1,2,3,3,1,2,4",77,rank_1to4_pm1,rank_1to4,cardinal,0.611973392,False
15,BaCh,Battle-Chicken,"3,2,1,4","4,3,1,2","3,2,1,4,4,3,1,2",2,0,False,-1,-1,141,72,P141,41232134,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A3,Level-k(α) class: 2 OD2 games; L1(α) is neither NE nor NES; two salient near-equal splits exist,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.294900222,0.705099778,0.875,1.8664,0.2949,0.4457,2,False,False,0,,,,,,2,0,2,"(0,0);(1,1)",False,True,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,2.0,-1,-1,-1,-1,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,0.1562542305420579,4,0.0,0.0,0.0,0,"3,2,1,4,4,3,1,2","4,1,2,3,2,1,3,4",72,rank_1to4_pm1,rank_1to4,cardinal,0.705099778,False
16,BaCm,,"3,2,1,4","4,1,3,2","3,2,1,4,4,1,3,2",1,2,False,-1,0,108,33,P108,41232314,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.279379157,0.7206208430000001,0.8546,1.3571,0.2794,0.8891,1,False,True,0,,,,,,1,2,1,"(0,0)",,,1.25,1.0,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,0.0,0.0,0.0,,,,,1,0,,,0,0,0.2789544310611563,3,0.0,0.0,0.0,0,"3,2,1,4,4,1,3,2","4,1,2,3,2,3,1,4",33,rank_1to4_pm1,rank_1to4,cardinal,0.7206208430000001,False
17,BaCo,,"3,2,1,4","1,4,3,2","3,2,1,4,1,4,3,2",0,0,False,-1,1,134,64,P134,14323214,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.33924612,0.66075388,0.9241,1.5247,0.3392,0.8537,0,False,False,0,,,,,,2,0,0,,,,1.25,1.6,0,1,"(0,1)",False,,,-1,1,1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,1,0.4523559099123697,3,0.0,0.0,0.0,0,"3,2,1,4,1,4,3,2","1,4,3,2,3,2,1,4",64,rank_1to4_pm1,rank_1to4,cardinal,0.66075388,False
18,BaDl,,"3,2,1,4","4,2,3,1","3,2,1,4,4,2,3,1",1,2,False,-1,0,89,12,P89,41231324,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.22616408,0.77383592,0.7713,1.2934,0.2262,0.8825,1,False,True,0,,,,,,1,2,1,"(0,0)",,,1.25,1.4,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,0.0,0.0,0.0,,,,,1,0,,,0,0,0.5098945387370066,3,0.0,0.0,0.0,0,"3,2,1,4,4,2,3,1","4,1,2,3,1,3,2,4",12,rank_1to4_pm1,rank_1to4,cardinal,0.77383592,False
19,BaHa,,"3,2,1,4","2,4,1,3","3,2,1,4,2,4,1,3",1,2,False,-1,1,90,13,P90,14321324,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.496674058,0.503325942,1.0,1.4395,0.4967,0.9091,1,False,True,0,,,,,,1,2,1,"(1,1)",,,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,3.0,-1,1,1,-1,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,,1.0,1.0,1.0,,,,,1,1,,,1,1,0.048014323385306,3,0.0,-0.0,0.0,0,"3,2,1,4,2,4,1,3","1,4,3,2,1,3,2,4",13,rank_1to4_pm1,rank_1to4,cardinal,0.496674058,False
20,BaHr,,"3,2,1,4","4,1,2,3","3,2,1,4,4,1,2,3",2,0,False,-1,0,133,63,P133,41233214,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B3,Breakaway: 2 CO1 games (Battle of Sexes-like); Lk(α)→NE favoring one player; other NE favors other,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.396895787,0.603104213,0.9691,1.8113,0.3969,0.7295,2,False,False,0,,,,,,2,0,2,"(0,0);(1,1)",False,True,1.25,0.3999999999999999,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,0.0,0.0,1,0,,,0,0,0.069651690163614,4,0.0,0.0,0.0,0,"3,2,1,4,4,1,2,3","4,1,2,3,3,2,1,4",63,rank_1to4_pm1,rank_1to4,cardinal,0.603104213,False
21,BaNc,,"3,2,1,4","3,4,1,2","3,2,1,4,3,4,1,2",1,2,False,-1,1,124,51,P124,14321234,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.323725055,0.6762749450000001,0.9084,1.8046,0.3237,0.6874,1,False,True,0,,,,,,1,2,1,"(1,1)",,,1.25,0.8,0,1,"(0,1)",False,1.0,4.0,-1,1,1,-1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,1.0,1.0,1.0,,,,,1,1,,,1,1,0.1634843772232312,3,0.0,-0.0,0.0,0,"3,2,1,4,3,4,1,2","1,4,3,2,1,2,3,4",51,rank_1to4_pm1,rank_1to4,cardinal,0.32372505499999993,False
22,BaPc,,"3,2,1,4","1,4,2,3","3,2,1,4,1,4,2,3",1,2,False,-1,1,109,34,P109,14322314,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.505543237,0.4944567629999999,0.9999,1.4169,0.5055,0.9157,1,False,True,0,,,,,,1,2,1,"(1,1)",,,1.25,1.0,0,1,"(0,1)",False,1.0,3.0,-1,1,1,-1,"(1,0)","(0,1);(1,1)",bruns,,,,,,,,,1.0,1.0,1.0,,,,,1,1,,,1,1,0.2789544310611563,3,0.0,-0.0,0.0,0,"3,2,1,4,1,4,2,3","1,4,3,2,2,3,1,4",34,rank_1to4_pm1,rank_1to4,cardinal,0.5055432370000001,False
23,BaPd,,"3,2,1,4","4,3,2,1","3,2,1,4,4,3,2,1",1,2,False,-1,0,123,50,P123,41231234,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.22616408,0.77383592,0.7713,1.3994,0.2262,0.8426,1,False,True,0,,,,,,1,2,1,"(0,0)",,,1.25,1.2,0,0,"(0,0)",True,0.0,0.0,-1,0,0,-1,"(0,0)","(0,0);(1,1)",bruns,,,,,,,,,0.0,0.0,0.0,,,,,1,0,,,0,0,0.3944244848990815,3,0.0,0.0,0.0,0,"3,2,1,4,4,3,2,1","4,1,2,3,1,2,3,4",50,rank_1to4_pm1,rank_1to4,cardinal,0.77383592,False
24,BaSh,,"3,2,1,4","3,4,2,1","3,2,1,4,3,4,2,1",0,0,False,-1,-1,142,73,P142,14322134,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.232815965,0.767184035,0.7829,1.6375,0.2328,0.2794,0,False,False,0,,,,,,2,0,0,,,,1.25,1.4,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.3368858560744445,3,0.0,0.0,0.0,0,"3,2,1,4,3,4,2,1","1,4,3,2,2,1,3,4",73,rank_1to4_pm1,rank_1to4,cardinal,0.767184035,False
25,ChAs,,"2,3,1,4","2,4,3,1","2,3,1,4,2,4,3,1",0,0,False,-1,-1,75,143,P75,41321342,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,True,P1,0.241685144,0.758314856,0.7978,1.7628,0.2417,0.3902,0,False,False,0,,,,,,2,0,0,,,,1.25,1.4,0,0,"(0,0)",False,,,-1,-1,-1,-1,"(0,0)","(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,1,,,0,0,0.3368858560744445,3,0.0,0.0,0.0,0,"2,3,1,4,2,4,3,1","4,1,3,2,1,3,4,2",143,rank_1to4_pm1,rank_1to4,cardinal,0.758314856,False
26,ChBa,,"2,3,1,4","4,2,1,3","2,3,1,4,4,2,1,3",2,0,False,-1,-1,72,141,P72,41323124,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A3,Level-k(α) class: 2 OD2 games; L1(α) is neither NE nor NES; two salient near-equal splits exist,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.445676275,0.5543237249999999,0.9915,1.8664,0.4457,0.2949,2,False,False,0,,,,,,2,0,2,"(0,0);(1,1)",False,True,1.25,0.6000000000000001,0,1,"(0,1)",False,1.0,2.0,-1,-1,-1,-1,"(1,0)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,0.1562542305420579,4,0.0,0.0,0.0,0,"2,3,1,4,4,2,1,3","4,1,3,2,3,1,2,4",141,rank_1to4_pm1,rank_1to4,cardinal,0.5543237249999999,False
27,ChCh,Chicken,"2,3,1,4","4,3,1,2","2,3,1,4,4,3,1,2",2,0,True,-1,-1,74,74,P74,41322134,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.310421286,0.689578714,0.8937,1.7873,0.3104,0.3104,2,False,False,0,,,,,,2,0,2,"(0,0);(1,1)",False,True,1.25,0.8,0,1,"(0,1)",False,1.0,2.0,-1,-1,-1,-1,"(0,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,0.2428567709205017,4,0.0,0.0,0.0,0,"2,3,1,4,4,3,1,2","4,1,3,2,2,1,3,4",74,rank_1to4_pm1,rank_1to4,cardinal,0.689578714,False
