canonical_id,bruns_name,bruns_long_name,canonical_p1,canonical_p2,canonical_8vec,nash_count,dominance_level,is_symmetric,canon_l1_p1,canon_l1_p2,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_matrix_code,nagel_lk_type,nagel_lk_type_description,nagel_emp_class,nagel_emp_class_description,nagel_rgg_class,nagel_rgg_class_description,nagel_swap_sr,nagel_swap_sc,nagel_role_relative_to_canonical,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary,nagel_entropy_4outcome,nagel_utility_efficiency,nagel_quality_level,nagel_n_pure_NE,nagel_p1_has_dominant,nagel_p2_has_dominant,clean_grif_n_games,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids
11,AsPd,Alibi,"1,4,3,2","4,3,2,1","1,4,3,2,4,3,2,1",1,2,False,-1,0,128,55,P128,14324321,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),B1,Breakaway: 4 games (DD+OD1) incl. Prisoner's Dilemma; NE ≠ NES; ~30% cooperate (off-equilibrium),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,False,False,P1,0.388026608,0.388026608,0.9635,1.9018,0.388,0.6452,1,False,True,0,,,,,
12,AsSh,AsymAssurance,"1,4,3,2","3,4,2,1","1,4,3,2,3,4,2,1",2,0,False,-1,-1,139,70,P139,14323421,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B2,"Breakaway: 3 CO1 games (Stag Hunt-like); one NE is Lk(α), other is NES; frequencies near 50-50",C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.516629712,0.516629712,0.9992,1.9984,0.5166,0.5166,2,False,False,0,,,,,
13,BaAs,,"3,2,1,4","2,4,3,1","3,2,1,4,2,4,3,1",0,0,False,-1,-1,144,78,P144,14323124,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.266075388,0.733924612,0.8358,1.7759,0.2661,0.357,0,False,False,0,,,,,
14,BaBa,Battle,"3,2,1,4","4,2,1,3","3,2,1,4,4,2,1,3",2,0,True,-1,-1,77,77,P77,41233124,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A3,Level-k(α) class: 2 OD2 games; L1(α) is neither NE nor NES; two salient near-equal splits exist,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.388026608,0.611973392,0.9635,1.927,0.388,0.388,2,False,False,0,,,,,
15,BaCh,Battle-Chicken,"3,2,1,4","4,3,1,2","3,2,1,4,4,3,1,2",2,0,False,-1,-1,141,72,P141,41232134,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A3,Level-k(α) class: 2 OD2 games; L1(α) is neither NE nor NES; two salient near-equal splits exist,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.294900222,0.705099778,0.875,1.8664,0.2949,0.4457,2,False,False,0,,,,,
16,BaCm,,"3,2,1,4","4,1,3,2","3,2,1,4,4,1,3,2",1,2,False,-1,0,108,33,P108,41232314,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.279379157,0.7206208430000001,0.8546,1.3571,0.2794,0.8891,1,False,True,0,,,,,
17,BaCo,,"3,2,1,4","1,4,3,2","3,2,1,4,1,4,3,2",0,0,False,-1,1,134,64,P134,14323214,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.33924612,0.66075388,0.9241,1.5247,0.3392,0.8537,0,False,False,0,,,,,
18,BaDl,,"3,2,1,4","4,2,3,1","3,2,1,4,4,2,3,1",1,2,False,-1,0,89,12,P89,41231324,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.22616408,0.77383592,0.7713,1.2934,0.2262,0.8825,1,False,True,0,,,,,
19,BaHa,,"3,2,1,4","2,4,1,3","3,2,1,4,2,4,1,3",1,2,False,-1,1,90,13,P90,14321324,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.496674058,0.503325942,1.0,1.4395,0.4967,0.9091,1,False,True,0,,,,,
20,BaHr,,"3,2,1,4","4,1,2,3","3,2,1,4,4,1,2,3",2,0,False,-1,0,133,63,P133,41233214,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B3,Breakaway: 2 CO1 games (Battle of Sexes-like); Lk(α)→NE favoring one player; other NE favors other,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.396895787,0.603104213,0.9691,1.8113,0.3969,0.7295,2,False,False,0,,,,,
21,BaNc,,"3,2,1,4","3,4,1,2","3,2,1,4,3,4,1,2",1,2,False,-1,1,124,51,P124,14321234,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.323725055,0.6762749450000001,0.9084,1.8046,0.3237,0.6874,1,False,True,0,,,,,
22,BaPc,,"3,2,1,4","1,4,2,3","3,2,1,4,1,4,2,3",1,2,False,-1,1,109,34,P109,14322314,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,False,P1,0.505543237,0.4944567629999999,0.9999,1.4169,0.5055,0.9157,1,False,True,0,,,,,
23,BaPd,,"3,2,1,4","4,3,2,1","3,2,1,4,4,3,2,1",1,2,False,-1,0,123,50,P123,41231234,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.22616408,0.77383592,0.7713,1.3994,0.2262,0.8426,1,False,True,0,,,,,
24,BaSh,,"3,2,1,4","3,4,2,1","3,2,1,4,3,4,2,1",0,0,False,-1,-1,142,73,P142,14322134,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,False,P1,0.232815965,0.767184035,0.7829,1.6375,0.2328,0.2794,0,False,False,0,,,,,
25,ChAs,,"2,3,1,4","2,4,3,1","2,3,1,4,2,4,3,1",0,0,False,-1,-1,75,143,P75,41321342,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,True,P1,0.241685144,0.758314856,0.7978,1.7628,0.2417,0.3902,0,False,False,0,,,,,
26,ChBa,,"2,3,1,4","4,2,1,3","2,3,1,4,4,2,1,3",2,0,False,-1,-1,72,141,P72,41323124,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A3,Level-k(α) class: 2 OD2 games; L1(α) is neither NE nor NES; two salient near-equal splits exist,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.445676275,0.5543237249999999,0.9915,1.8664,0.4457,0.2949,2,False,False,0,,,,,
27,ChCh,Chicken,"2,3,1,4","4,3,1,2","2,3,1,4,4,3,1,2",2,0,True,-1,-1,74,74,P74,41322134,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,True,P1,0.310421286,0.689578714,0.8937,1.7873,0.3104,0.3104,2,False,False,0,,,,,
28,ChCm,,"2,3,1,4","4,1,3,2","2,3,1,4,4,1,3,2",1,2,False,-1,0,112,38,P112,14233241,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.310421286,0.689578714,0.8937,1.5872,0.3104,0.8137,1,False,True,0,,,,,
29,ChCo,,"2,3,1,4","1,4,3,2","2,3,1,4,1,4,3,2",0,0,False,-1,1,132,61,P132,41322341,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,True,P1,0.294900222,0.705099778,0.875,1.5444,0.2949,0.8248,0,False,False,0,,,,,
30,ChDl,,"2,3,1,4","4,2,3,1","2,3,1,4,4,2,3,1",1,2,False,-1,0,94,17,P94,41321324,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.241685144,0.758314856,0.7978,1.4096,0.2417,0.8492,1,False,True,0,,,,,
31,ChHa,,"2,3,1,4","2,4,1,3","2,3,1,4,2,4,1,3",1,2,False,-1,1,84,7,P84,41323142,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,True,P1,0.383592018,0.616407982,0.9605,1.5611,0.3836,0.8537,1,False,True,0,,,,,
32,ChHr,,"2,3,1,4","4,1,2,3","2,3,1,4,4,1,2,3",2,0,False,-1,0,136,66,P136,14232341,CO1,Coordination type 1 — two pure NE; L1(α) selects one equilibrium (1 outcome),B3,Breakaway: 2 CO1 games (Battle of Sexes-like); Lk(α)→NE favoring one player; other NE favors other,E,Exploitation / discoordination: no dominant strategies; related to matching pennies (9 perspectives),True,False,P1,0.474501109,0.525498891,0.9981,1.9325,0.4745,0.6497,2,False,False,0,,,,,
33,ChNc,,"2,3,1,4","3,4,1,2","2,3,1,4,3,4,1,2",1,2,False,-1,1,120,47,P120,41322143,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,True,P1,0.321507761,0.678492239,0.906,1.6402,0.3215,0.7938,1,False,True,0,,,,,
34,ChPc,,"2,3,1,4","1,4,2,3","2,3,1,4,1,4,2,3",1,2,False,-1,1,104,29,P104,41323241,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O1,One-sided dominance: one player has a dominant strategy (class 1 of 4); 18 perspectives,True,True,P1,0.463414634,0.536585366,0.9961,1.4282,0.4634,0.9113,1,False,True,0,,,,,
35,ChPd,,"2,3,1,4","4,3,2,1","2,3,1,4,4,3,2,1",1,2,False,-1,0,126,53,P126,41321234,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,True,P1,0.210643016,0.789356984,0.7427,1.5912,0.2106,0.7251,1,False,True,0,,,,,
36,ChSh,,"2,3,1,4","3,4,2,1","2,3,1,4,3,4,2,1",0,0,False,-1,-1,140,71,P140,41321243,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),True,True,P1,0.241685144,0.758314856,0.7978,1.7733,0.2417,0.408,0,False,False,0,,,,,
37,CmAs,,"2,1,3,4","2,4,3,1","2,1,3,4,2,4,3,1",1,1,False,1,-1,40,114,P40,43121342,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,True,True,P1,0.904656319,0.095343681,0.4541,1.1661,0.9047,0.1951,1,True,False,0,,,,,
38,CmBa,Protector,"2,1,3,4","4,2,1,3","2,1,3,4,4,2,1,3",1,1,False,1,-1,33,108,P33,34211342,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.889135255,0.1108647449999999,0.5025,1.3571,0.8891,0.2794,1,True,False,0,,,,,
39,CmCh,UnfairType,"2,1,3,4","4,3,1,2","2,1,3,4,4,3,1,2",1,1,False,1,-1,38,112,P38,34211243,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.813747228,0.186252772,0.6936,1.5872,0.8137,0.3104,1,True,False,0,,,,,
40,CmCm,Compromise,"2,1,3,4","4,1,3,2","2,1,3,4,4,1,3,2",1,1,True,1,0,36,36,P36,43122314,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D2,Dominant strategy: both players have dominant strategies; different conflict structure from D1 (9 perspectives),True,True,P1,0.898004435,0.1019955649999999,0.4753,0.9506,0.898,0.898,1,True,True,2,0.2069264069264069,0.1930894308943089,0.050201520395928054,0.0373674315261184,6;188
41,CmCo,,"2,1,3,4","1,4,3,2","2,1,3,4,1,4,3,2",1,1,False,1,1,35,110,P35,43122341,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,True,True,P1,0.926829268,0.073170732,0.3776,1.3233,0.9268,0.6364,1,True,False,6,0.07593389643116702,0.6398818494136732,0.054717967777827684,0.11777766037205607,40;72;142;334;431;586
42,CmDl,,"2,1,3,4","4,2,3,1","2,1,3,4,4,2,3,1",1,1,False,1,0,92,15,P92,43121324,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D2,Dominant strategy: both players have dominant strategies; different conflict structure from D1 (9 perspectives),True,True,P1,0.89135255,0.1086474499999999,0.4958,0.8315,0.8914,0.9379,1,True,True,3,0.14513305307843136,0.09267728103703704,0.06406773751121711,0.01899292332037999,240;263;360
43,CmHa,,"2,1,3,4","2,4,1,3","2,1,3,4,2,4,1,3",1,1,False,1,1,96,19,P96,34211324,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),True,False,P1,0.871396896,0.1286031039999999,0.5536,1.0219,0.8714,0.9002,1,True,True,1,0.1515151515151515,0.92,0.0,0.0,378
44,CmHr,Compromise-Hero,"2,1,3,4","4,1,2,3","2,1,3,4,4,1,2,3",1,1,False,1,0,32,107,P32,34212341,OD2,One-sided dominance type 2 — one player has a dominated action; needs L2(α) to reach NE (2 outcomes),A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",O2,One-sided dominance: one player has a dominant strategy (class 2 of 4); 18 perspectives,True,False,P1,0.935698448,0.0643015519999999,0.3443,1.2455,0.9357,0.6829,1,True,False,7,0.15508901461839558,0.4239959497312439,0.08397639587495716,0.11720808857419233,42;105;123;134;272;474;500
45,CmNc,,"2,1,3,4","3,4,1,2","2,1,3,4,3,4,1,2",1,1,False,1,1,37,111,P37,34211234,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),True,False,P1,0.853658537,0.1463414629999999,0.6006,1.2341,0.8537,0.8404,1,True,True,3,0.1821875387092778,0.8553049289891396,0.058559756774102405,0.012383421195447174,356;649;686
46,CmPc,,"2,1,3,4","1,4,2,3","2,1,3,4,1,4,2,3",1,1,False,1,1,31,106,P31,34212314,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D3,Dominant strategy: both players have dominant strategies; highest internal conflict of D-class (18 perspectives),True,False,P1,0.911308204,0.0886917959999999,0.4321,0.9543,0.9113,0.8825,1,True,True,2,0.0829831932773109,0.9807692307692308,0.03416692430103063,0.02719641466102108,166;261
47,CmPd,,"2,1,3,4","4,3,2,1","2,1,3,4,4,3,2,1",1,1,False,1,0,42,116,P42,43121234,DD,Double dominance — both players have a strictly dominated action; unique pure NE at L1(α),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),D2,Dominant strategy: both players have dominant strategies; different conflict structure from D1 (9 perspectives),True,True,P1,0.840354767,0.159645233,0.6335,1.1621,0.8404,0.8803,1,True,True,2,0.1875,0.1024027460217391,0.08838834764831845,0.07038705941727995,85;117
48,CmSh,,"2,1,3,4","3,4,2,1","2,1,3,4,3,4,2,1",1,1,False,1,-1,41,115,P41,43121243,OD1,One-sided dominance type 1 — one player has a dominated action; L1(α) converges to NE (1 outcome),A1,Level-k(α) class: 36 games (DD+OD1+CO1); Lk(α)→NE at k=1; NE is near-equal split; ≥67% play L1(α),O3,One-sided dominance: one player has a dominant strategy (class 3 of 4); 18 perspectives,True,True,P1,0.824833703,0.1751662969999999,0.6694,1.4745,0.8248,0.2461,1,True,False,0,,,,,
49,CoAs,PureAssurance,"2,4,3,1","2,4,3,1","2,4,3,1,2,4,3,1",2,0,False,0,-1,59,131,P59,24312431,CO2,"Coordination type 2 — two pure NE; Lk(α) cycles through all 4 outcomes, never reaching NE",A2,"Level-k(α) class: 22 games (OD2+CO2+MP); L1(α) concentrates one player, other splits; needs k=2",C,Coordination: no dominant strategies; two pure NE; coordination problem (9 perspectives),False,False,P1,0.871396896,0.871396896,0.5536,1.5532,0.8714,0.4878,2,False,False,0,,,,,
50,CoBa,QuasiCycle,"2,4,3,1","4,2,1,3","2,4,3,1,4,2,1,3",0,0,False,0,-1,64,134,P64,24314213,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),False,False,P1,0.853658537,0.853658537,0.6006,1.5247,0.8537,0.3392,0,False,False,0,,,,,
51,CoCh,BiasedCycle,"2,4,3,1","4,3,1,2","2,4,3,1,4,3,1,2",0,0,False,0,-1,61,132,P61,24314312,MP,Matching pennies — no pure NE; Lk(α) cycles through all 4 outcomes,A4,Level-k(α) class: 8 MP games; L1(α) breaks ties; frequencies cluster around L1(α) prediction,H,Hero / anti-coordination: no dominant strategies; no pure NE; pure conflict (18 perspectives),False,False,P1,0.824833703,0.824833703,0.6694,1.5444,0.8248,0.2949,0,False,False,0,,,,,
