canonical_id,bruns_name,canonical_p1,canonical_p2,canonical_8vec,nash_count,dominance_level,is_symmetric,bruns_long_name
21,BaNc,"3,2,1,4","3,4,1,2","3,2,1,4,3,4,1,2",1,2,False,
22,BaPc,"3,2,1,4","1,4,2,3","3,2,1,4,1,4,2,3",1,2,False,
23,BaPd,"3,2,1,4","4,3,2,1","3,2,1,4,4,3,2,1",1,2,False,
24,BaSh,"3,2,1,4","3,4,2,1","3,2,1,4,3,4,2,1",0,0,False,
25,ChAs,"2,3,1,4","2,4,3,1","2,3,1,4,2,4,3,1",0,0,False,
26,ChBa,"2,3,1,4","4,2,1,3","2,3,1,4,4,2,1,3",2,0,False,
27,ChCh,"2,3,1,4","4,3,1,2","2,3,1,4,4,3,1,2",2,0,True,Chicken
28,ChCm,"2,3,1,4","4,1,3,2","2,3,1,4,4,1,3,2",1,2,False,
29,ChCo,"2,3,1,4","1,4,3,2","2,3,1,4,1,4,3,2",0,0,False,
30,ChDl,"2,3,1,4","4,2,3,1","2,3,1,4,4,2,3,1",1,2,False,
31,ChHa,"2,3,1,4","2,4,1,3","2,3,1,4,2,4,1,3",1,2,False,
32,ChHr,"2,3,1,4","4,1,2,3","2,3,1,4,4,1,2,3",2,0,False,
33,ChNc,"2,3,1,4","3,4,1,2","2,3,1,4,3,4,1,2",1,2,False,
34,ChPc,"2,3,1,4","1,4,2,3","2,3,1,4,1,4,2,3",1,2,False,
35,ChPd,"2,3,1,4","4,3,2,1","2,3,1,4,4,3,2,1",1,2,False,
36,ChSh,"2,3,1,4","3,4,2,1","2,3,1,4,3,4,2,1",0,0,False,
37,CmAs,"2,1,3,4","2,4,3,1","2,1,3,4,2,4,3,1",1,1,False,
38,CmBa,"2,1,3,4","4,2,1,3","2,1,3,4,4,2,1,3",1,1,False,Protector
39,CmCh,"2,1,3,4","4,3,1,2","2,1,3,4,4,3,1,2",1,1,False,UnfairType
40,CmCm,"2,1,3,4","4,1,3,2","2,1,3,4,4,1,3,2",1,1,True,Compromise
41,CmCo,"2,1,3,4","1,4,3,2","2,1,3,4,1,4,3,2",1,1,False,
42,CmDl,"2,1,3,4","4,2,3,1","2,1,3,4,4,2,3,1",1,1,False,
43,CmHa,"2,1,3,4","2,4,1,3","2,1,3,4,2,4,1,3",1,1,False,
44,CmHr,"2,1,3,4","4,1,2,3","2,1,3,4,4,1,2,3",1,1,False,Compromise-Hero
45,CmNc,"2,1,3,4","3,4,1,2","2,1,3,4,3,4,1,2",1,1,False,
46,CmPc,"2,1,3,4","1,4,2,3","2,1,3,4,1,4,2,3",1,1,False,
47,CmPd,"2,1,3,4","4,3,2,1","2,1,3,4,4,3,2,1",1,1,False,
48,CmSh,"2,1,3,4","3,4,2,1","2,1,3,4,3,4,2,1",1,1,False,
49,CoAs,"2,4,3,1","2,4,3,1","2,4,3,1,2,4,3,1",2,0,False,PureAssurance
50,CoBa,"2,4,3,1","4,2,1,3","2,4,3,1,4,2,1,3",0,0,False,QuasiCycle
51,CoCh,"2,4,3,1","4,3,1,2","2,4,3,1,4,3,1,2",0,0,False,BiasedCycle
52,CoCm,"2,4,3,1","4,1,3,2","2,4,3,1,4,1,3,2",1,2,False,Coordination-Compromise
53,CoCo,"2,4,3,1","1,4,3,2","2,4,3,1,1,4,3,2",2,0,True,Coordination
54,CoDl,"2,4,3,1","4,2,3,1","2,4,3,1,4,2,3,1",1,2,False,Coordination-Lock
55,CoHa,"2,4,3,1","2,4,1,3","2,4,3,1,2,4,1,3",1,2,False,
56,CoHr,"2,4,3,1","4,1,2,3","2,4,3,1,4,1,2,3",0,0,False,PursuitCycle
57,CoNc,"2,4,3,1","3,4,1,2","2,4,3,1,3,4,1,2",1,2,False,
58,CoPc,"2,4,3,1","1,4,2,3","2,4,3,1,1,4,2,3",1,2,False,
59,CoPd,"2,4,3,1","4,3,2,1","2,4,3,1,4,3,2,1",1,2,False,Revelation
60,CoSh,"2,4,3,1","3,4,2,1","2,4,3,1,3,4,2,1",2,0,False,Asym.Coordination
61,DlAs,"1,2,3,4","2,4,3,1","1,2,3,4,2,4,3,1",1,1,False,
62,DlBa,"1,2,3,4","4,2,1,3","1,2,3,4,4,2,1,3",1,1,False,Deadlock-Battle
63,DlCh,"1,2,3,4","4,3,1,2","1,2,3,4,4,3,1,2",1,1,False,Bully
64,DlCm,"1,2,3,4","4,1,3,2","1,2,3,4,4,1,3,2",1,1,False,AsymLock
65,DlCo,"1,2,3,4","1,4,3,2","1,2,3,4,1,4,3,2",1,1,False,
66,DlDl,"1,2,3,4","4,2,3,1","1,2,3,4,4,2,3,1",1,1,True,Deadlock
67,DlHa,"1,2,3,4","2,4,1,3","1,2,3,4,2,4,1,3",1,1,False,
68,DlHr,"1,2,3,4","4,1,2,3","1,2,3,4,4,1,2,3",1,1,False,Deadlock-Hero
69,DlNc,"1,2,3,4","3,4,1,2","1,2,3,4,3,4,1,2",1,1,False,
70,DlPc,"1,2,3,4","1,4,2,3","1,2,3,4,1,4,2,3",1,1,False,
71,DlPd,"1,2,3,4","4,3,2,1","1,2,3,4,4,3,2,1",1,1,False,
72,DlSh,"1,2,3,4","3,4,2,1","1,2,3,4,3,4,2,1",1,1,False,
73,HaAs,"3,4,1,2","2,4,3,1","3,4,1,2,2,4,3,1",1,1,False,Harmony-Assurance
74,HaBa,"3,4,1,2","4,2,1,3","3,4,1,2,4,2,1,3",1,1,False,Harmony-Battle
75,HaCh,"3,4,1,2","4,3,1,2","3,4,1,2,4,3,1,2",1,1,False,Samaritan'sD
76,HaCm,"3,4,1,2","4,1,3,2","3,4,1,2,4,1,3,2",1,1,False,Harmony-Compromise
77,HaCo,"3,4,1,2","1,4,3,2","3,4,1,2,1,4,3,2",1,1,False,Harmony-Coordination
78,HaDl,"3,4,1,2","4,2,3,1","3,4,1,2,4,2,3,1",1,1,False,BenevolentType
79,HaHa,"3,4,1,2","2,4,1,3","3,4,1,2,2,4,1,3",1,1,True,Harmony
80,HaHr,"3,4,1,2","4,1,2,3","3,4,1,2,4,1,2,3",1,1,False,Harmony-Hero
81,HaNc,"3,4,1,2","3,4,1,2","3,4,1,2,3,4,1,2",1,1,False,
82,HaPc,"3,4,1,2","1,4,2,3","3,4,1,2,1,4,2,3",1,1,False,AsymHarmony
83,HaPd,"3,4,1,2","4,3,2,1","3,4,1,2,4,3,2,1",1,1,False,AltruistType
84,HaSh,"3,4,1,2","3,4,2,1","3,4,1,2,3,4,2,1",1,1,False,Harmony-Hunt
85,HrAs,"3,1,2,4","2,4,3,1","3,1,2,4,2,4,3,1",0,0,False,
86,HrBa,"3,1,2,4","4,2,1,3","3,1,2,4,4,2,1,3",2,0,False,QuasiBattle
87,HrCh,"3,1,2,4","4,3,1,2","3,1,2,4,4,3,1,2",2,0,False,Hero-Chicken
88,HrCm,"3,1,2,4","4,1,3,2","3,1,2,4,4,1,3,2",1,2,False,
89,HrCo,"3,1,2,4","1,4,3,2","3,1,2,4,1,4,3,2",0,0,False,
90,HrDl,"3,1,2,4","4,2,3,1","3,1,2,4,4,2,3,1",1,2,False,
91,HrHa,"3,1,2,4","2,4,1,3","3,1,2,4,2,4,1,3",1,2,False,
92,HrHr,"3,1,2,4","4,1,2,3","3,1,2,4,4,1,2,3",2,0,True,Hero
93,HrNc,"3,1,2,4","3,4,1,2","3,1,2,4,3,4,1,2",1,2,False,
94,HrPc,"3,1,2,4","1,4,2,3","3,1,2,4,1,4,2,3",1,2,False,
95,HrPd,"3,1,2,4","4,3,2,1","3,1,2,4,4,3,2,1",1,2,False,
96,HrSh,"3,1,2,4","3,4,2,1","3,1,2,4,3,4,2,1",0,0,False,
97,NcAs,"2,4,1,3","2,4,3,1","2,4,1,3,2,4,3,1",1,1,False,Mutualism
98,NcBa,"2,4,1,3","4,2,1,3","2,4,1,3,4,2,1,3",1,1,False,Samson
99,NcCh,"2,4,1,3","4,3,1,2","2,4,1,3,4,3,1,2",1,1,False,Hegemony
100,NcCm,"2,4,1,3","4,1,3,2","2,4,1,3,4,1,3,2",1,1,False,Hostage
101,NcCo,"2,4,1,3","1,4,3,2","2,4,1,3,1,4,3,2",1,1,False,Concord-Coordination
102,NcDl,"2,4,1,3","4,2,3,1","2,4,1,3,4,2,3,1",1,1,False,BlackmailType
103,NcHa,"2,4,1,3","2,4,1,3","2,4,1,3,2,4,1,3",1,1,False,PureHarmony
104,NcHr,"2,4,1,3","4,1,2,3","2,4,1,3,4,1,2,3",1,1,False,Delilah
105,NcNc,"2,4,1,3","3,4,1,2","2,4,1,3,3,4,1,2",1,1,True,Concord
106,NcPc,"2,4,1,3","1,4,2,3","2,4,1,3,1,4,2,3",1,1,False,Concord-Peace
107,NcPd,"2,4,1,3","4,3,2,1","2,4,1,3,4,3,2,1",1,1,False,HegemonType
108,NcSh,"2,4,1,3","3,4,2,1","2,4,1,3,3,4,2,1",1,1,False,Anticipation
109,PcAs,"3,4,2,1","2,4,3,1","3,4,2,1,2,4,3,1",1,1,False,Privileged
110,PcBa,"3,4,2,1","4,2,1,3","3,4,2,1,4,2,1,3",1,1,False,Generous
111,PcCh,"3,4,2,1","4,3,1,2","3,4,2,1,4,3,1,2",1,1,False,SamaritanType
112,PcCm,"3,4,2,1","4,1,3,2","3,4,2,1,4,1,3,2",1,1,False,Benevolent
113,PcCo,"3,4,2,1","1,4,3,2","3,4,2,1,1,4,3,2",1,1,False,Peace-Coordination
114,PcDl,"3,4,2,1","4,2,3,1","3,4,2,1,4,2,3,1",1,1,False,Peace-Lock
115,PcHa,"3,4,2,1","2,4,1,3","3,4,2,1,2,4,1,3",1,1,False,
116,PcHr,"3,4,2,1","4,1,2,3","3,4,2,1,4,1,2,3",1,1,False,Peace-Hero
117,PcNc,"3,4,2,1","3,4,1,2","3,4,2,1,3,4,1,2",1,1,False,
118,PcPc,"3,4,2,1","1,4,2,3","3,4,2,1,1,4,2,3",1,1,True,Peace
119,PcPd,"3,4,2,1","4,3,2,1","3,4,2,1,4,3,2,1",1,1,False,ImpureAltruist
120,PcSh,"3,4,2,1","3,4,2,1","3,4,2,1,3,4,2,1",1,1,False,PureAligned
121,PdAs,"1,3,2,4","2,4,3,1","1,3,2,4,2,4,3,1",1,1,False,
122,PdBa,"1,3,2,4","4,2,1,3","1,3,2,4,4,2,1,3",1,1,False,Patron
123,PdCh,"1,3,2,4","4,3,1,2","1,3,2,4,4,3,1,2",1,1,False,CalledBluff
124,PdCm,"1,3,2,4","4,1,3,2","1,3,2,4,4,1,3,2",1,1,False,Misery
125,PdCo,"1,3,2,4","1,4,3,2","1,3,2,4,1,4,3,2",1,1,False,
126,PdDl,"1,3,2,4","4,2,3,1","1,3,2,4,4,2,3,1",1,1,False,TotalConflict
127,PdHa,"1,3,2,4","2,4,1,3","1,3,2,4,2,4,1,3",1,1,False,
128,PdHr,"1,3,2,4","4,1,2,3","1,3,2,4,4,1,2,3",1,1,False,DilemmaHero
129,PdNc,"1,3,2,4","3,4,1,2","1,3,2,4,3,4,1,2",1,1,False,
130,PdPc,"1,3,2,4","1,4,2,3","1,3,2,4,1,4,2,3",1,1,False,
131,PdPd,"1,3,2,4","4,3,2,1","1,3,2,4,4,3,2,1",1,1,True,PrisonerDilemma
132,PdSh,"1,3,2,4","3,4,2,1","1,3,2,4,3,4,2,1",1,1,False,
133,ShAs,"1,4,2,3","2,4,3,1","1,4,2,3,2,4,3,1",2,0,False,
134,ShBa,"1,4,2,3","4,2,1,3","1,4,2,3,4,2,1,3",0,0,False,InspectorCycle
135,ShCh,"1,4,2,3","4,3,1,2","1,4,2,3,4,3,1,2",0,0,False,EndlessCycle
136,ShCm,"1,4,2,3","4,1,3,2","1,4,2,3,4,1,3,2",1,2,False,BigBully
137,ShCo,"1,4,2,3","1,4,3,2","1,4,2,3,1,4,3,2",2,0,False,
138,ShDl,"1,4,2,3","4,2,3,1","1,4,2,3,4,2,3,1",1,2,False,Hamlet
139,ShHa,"1,4,2,3","2,4,1,3","1,4,2,3,2,4,1,3",1,2,False,
140,ShHr,"1,4,2,3","4,1,2,3","1,4,2,3,4,1,2,3",0,0,False,CrisisCycle
141,ShNc,"1,4,2,3","3,4,1,2","1,4,2,3,3,4,1,2",1,2,False,
142,ShPc,"1,4,2,3","1,4,2,3","1,4,2,3,1,4,2,3",1,2,False,
143,ShPd,"1,4,2,3","4,3,2,1","1,4,2,3,4,3,2,1",1,2,False,AsymDilemma
144,ShSh,"1,4,2,3","3,4,2,1","1,4,2,3,3,4,2,1",2,0,True,StagHunt
