period,model,game,seed,condition,trait_p1,trait_p2,real0,pref0,n_rounds
all10,gptoss,AsAs,200,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.5366005345230225,10
round1,gptoss,AsAs,200,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.5156199170628961,1
round10,gptoss,AsAs,200,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.437823501165135,1
all10,gptoss,AsAs,300,baseline,baseline,baseline,0.0,0.10727206643431023,10
round1,gptoss,AsAs,300,baseline,baseline,baseline,0.0,0.09670579317970528,1
round10,gptoss,AsAs,300,baseline,baseline,baseline,0.0,0.07751765751324823,1
all10,gptoss,AsAs,300,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.09432718794361164,10
round1,gptoss,AsAs,300,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.11279540020058114,1
round10,gptoss,AsAs,300,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.0695417487976486,1
all10,gptoss,AsAs,300,level1_typeA,level1,baseline,0.0,0.09859652922563258,10
round1,gptoss,AsAs,300,level1_typeA,level1,baseline,0.0,0.08632347978144363,1
round10,gptoss,AsAs,300,level1_typeA,level1,baseline,0.0,0.10521054511691602,1
all10,gptoss,AsAs,300,level2_typeA,level2,baseline,0.0,0.0993982222716921,10
round1,gptoss,AsAs,300,level2_typeA,level2,baseline,0.0,0.0875638433749342,1
round10,gptoss,AsAs,300,level2_typeA,level2,baseline,0.0,0.09138210003801954,1
all10,gptoss,AsAs,300,loss_aversion_typeA,loss_aversion,baseline,0.0,0.1069382914516331,10
round1,gptoss,AsAs,300,loss_aversion_typeA,loss_aversion,baseline,0.0,0.07921032676520688,1
round10,gptoss,AsAs,300,loss_aversion_typeA,loss_aversion,baseline,0.0,0.16451646883622323,1
all10,gptoss,AsAs,300,maximin_typeA,maximin,baseline,0.1,0.1122287330677589,10
round1,gptoss,AsAs,300,maximin_typeA,maximin,baseline,1.0,0.15610490585406323,1
round10,gptoss,AsAs,300,maximin_typeA,maximin,baseline,0.0,0.07921033553153668,1
all10,gptoss,AsAs,300,risk_aversion_typeA,risk_aversion,baseline,0.0,0.09417433528927459,10
round1,gptoss,AsAs,300,risk_aversion_typeA,risk_aversion,baseline,0.0,0.06371499146579912,1
round10,gptoss,AsAs,300,risk_aversion_typeA,risk_aversion,baseline,0.0,0.09534947193754281,1
all10,gptoss,AsAs,300,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.0865655787117482,10
round1,gptoss,AsAs,300,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.05184546446629501,1
round10,gptoss,AsAs,300,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.0803574757524804,1
all10,gptoss,AsBa,100,baseline,baseline,baseline,0.8,0.13252124767572446,10
round1,gptoss,AsBa,100,baseline,baseline,baseline,1.0,0.12940274660089718,1
round10,gptoss,AsBa,100,baseline,baseline,baseline,1.0,0.15203223702445007,1
all10,gptoss,AsBa,100,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.16281255947661924,10
round1,gptoss,AsBa,100,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.20181322016548067,1
round10,gptoss,AsBa,100,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.18713268301865302,1
all10,gptoss,AsBa,100,level1_typeA,level1,baseline,1.0,0.16569893260411103,10
round1,gptoss,AsBa,100,level1_typeA,level1,baseline,1.0,0.2509127921617966,1
round10,gptoss,AsBa,100,level1_typeA,level1,baseline,1.0,0.1520322368087762,1
all10,gptoss,AsBa,100,level2_typeA,level2,baseline,1.0,0.15174872826075397,10
round1,gptoss,AsBa,100,level2_typeA,level2,baseline,1.0,0.14033625112609252,1
round10,gptoss,AsBa,100,level2_typeA,level2,baseline,1.0,0.1520322368087762,1
all10,gptoss,AsBa,100,loss_aversion_typeA,loss_aversion,baseline,1.0,0.15701643654899794,10
round1,gptoss,AsBa,100,loss_aversion_typeA,loss_aversion,baseline,1.0,0.18713268749344086,1
round10,gptoss,AsBa,100,loss_aversion_typeA,loss_aversion,baseline,1.0,0.16451644885847425,1
all10,gptoss,AsBa,100,maximin_typeA,maximin,baseline,0.9,0.19802224598085433,10
round1,gptoss,AsBa,100,maximin_typeA,maximin,baseline,0.0,0.36296921499405466,1
round10,gptoss,AsBa,100,maximin_typeA,maximin,baseline,1.0,0.13660837453226213,1
all10,gptoss,AsBa,100,risk_aversion_typeA,risk_aversion,baseline,1.0,0.1938759549200993,10
round1,gptoss,AsBa,100,risk_aversion_typeA,risk_aversion,baseline,1.0,0.2942149519339367,1
round10,gptoss,AsBa,100,risk_aversion_typeA,risk_aversion,baseline,1.0,0.17781086240721736,1
all10,gptoss,AsBa,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.4,0.13636123291409802,10
round1,gptoss,AsBa,100,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.11920292115590363,1
round10,gptoss,AsBa,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.17781086187820788,1
all10,gptoss,AsBa,200,baseline,baseline,baseline,0.0,0.02931732230540312,10
round1,gptoss,AsBa,200,baseline,baseline,baseline,0.0,0.027376489465125112,1
round10,gptoss,AsBa,200,baseline,baseline,baseline,0.0,0.026963500759519553,1
all10,gptoss,AsBa,200,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.022829153072022525,10
round1,gptoss,AsBa,200,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.01826427699271809,1
round10,gptoss,AsBa,200,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.01840488997938745,1
all10,gptoss,AsBa,200,level1_typeA,level1,baseline,0.0,0.018761466785152527,10
round1,gptoss,AsBa,200,level1_typeA,level1,baseline,0.0,0.013584391475031213,1
round10,gptoss,AsBa,200,level1_typeA,level1,baseline,0.0,0.013020489201671587,1
all10,gptoss,AsBa,200,level2_typeA,level2,baseline,0.0,0.03535675810270804,10
round1,gptoss,AsBa,200,level2_typeA,level2,baseline,0.0,0.041462268150253945,1
round10,gptoss,AsBa,200,level2_typeA,level2,baseline,0.0,0.04468087220552101,1
all10,gptoss,AsBa,200,loss_aversion_typeA,loss_aversion,baseline,0.0,0.026215006179475826,10
round1,gptoss,AsBa,200,loss_aversion_typeA,loss_aversion,baseline,0.0,0.03963883975726097,1
round10,gptoss,AsBa,200,loss_aversion_typeA,loss_aversion,baseline,0.0,0.025371310910043486,1
all10,gptoss,AsBa,200,maximin_typeA,maximin,baseline,0.0,0.022684740455564394,10
round1,gptoss,AsBa,200,maximin_typeA,maximin,baseline,0.0,2.681003932260342e-14,1
round10,gptoss,AsBa,200,maximin_typeA,maximin,baseline,0.0,0.017986208149030087,1
all10,gptoss,AsBa,200,risk_aversion_typeA,risk_aversion,baseline,0.0,0.03141512165303135,10
round1,gptoss,AsBa,200,risk_aversion_typeA,risk_aversion,baseline,0.0,0.04813677279154314,1
round10,gptoss,AsBa,200,risk_aversion_typeA,risk_aversion,baseline,0.0,0.02998650655497143,1
all10,gptoss,AsBa,200,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.025822048857073693,10
round1,gptoss,AsBa,200,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.013955709948470507,1
round10,gptoss,AsBa,200,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.034100427961127645,1
all10,gptoss,AsBa,300,baseline,baseline,baseline,1.0,0.946238341243738,10
round1,gptoss,AsBa,300,baseline,baseline,baseline,1.0,0.940353050679741,1
round10,gptoss,AsBa,300,baseline,baseline,baseline,1.0,0.9477691368167063,1
all10,gptoss,AsBa,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.8170614011987098,10
round1,gptoss,AsBa,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.8198933281452244,1
round10,gptoss,AsBa,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.8244619293935271,1
all10,gptoss,AsBa,300,level1_typeA,level1,baseline,1.0,0.8965431652309854,10
round1,gptoss,AsBa,300,level1_typeA,level1,baseline,1.0,0.9066531167064867,1
round10,gptoss,AsBa,300,level1_typeA,level1,baseline,1.0,0.8991213776303528,1
all10,gptoss,AsBa,300,level2_typeA,level2,baseline,1.0,0.8888430986552397,10
round1,gptoss,AsBa,300,level2_typeA,level2,baseline,1.0,0.8643104574748104,1
round10,gptoss,AsBa,300,level2_typeA,level2,baseline,1.0,0.9136765232597325,1
all10,gptoss,AsBa,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.8180697912248593,10
round1,gptoss,AsBa,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.8104789050103972,1
round10,gptoss,AsBa,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.8056321995612293,1
all10,gptoss,AsBa,300,maximin_typeA,maximin,baseline,0.9,0.8204290742544244,10
round1,gptoss,AsBa,300,maximin_typeA,maximin,baseline,0.0,1.7139084811994298e-15,1
round10,gptoss,AsBa,300,maximin_typeA,maximin,baseline,1.0,0.9324533105193561,1
all10,gptoss,AsBa,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.9038689421244479,10
round1,gptoss,AsBa,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.8816148945948876,1
round10,gptoss,AsBa,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.9473810428279837,1
all10,gptoss,AsBa,300,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.9344977584948279,10
round1,gptoss,AsBa,300,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.8947894670392086,1
round10,gptoss,AsBa,300,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.9263037403779564,1
all10,gptoss,BaBa,100,baseline,baseline,baseline,0.0,0.5194724281231025,10
round1,gptoss,BaBa,100,baseline,baseline,baseline,0.0,0.5234203650741144,1
round10,gptoss,BaBa,100,baseline,baseline,baseline,0.0,0.5389832074172158,1
all10,gptoss,BaBa,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.3293737987439083,10
round1,gptoss,BaBa,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.4378234991491346,1
round10,gptoss,BaBa,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.3073580107602639,1
all10,gptoss,BaBa,100,level1_typeA,level1,baseline,0.0,0.4581009665754854,10
round1,gptoss,BaBa,100,level1_typeA,level1,baseline,0.0,0.4455295276595358,1
round10,gptoss,BaBa,100,level1_typeA,level1,baseline,0.0,0.5234203515364464,1
all10,gptoss,BaBa,100,level2_typeA,level2,baseline,0.0,0.5303679522045494,10
round1,gptoss,BaBa,100,level2_typeA,level2,baseline,0.0,0.5156199404568896,1
round10,gptoss,BaBa,100,level2_typeA,level2,baseline,0.0,0.5078118761838412,1
all10,gptoss,BaBa,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.36101216080309334,10
round1,gptoss,BaBa,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.4378234823747125,1
round10,gptoss,BaBa,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.3775406678212506,1
all10,gptoss,BaBa,100,maximin_typeA,maximin,baseline,1.0,0.25025940902869986,10
round1,gptoss,BaBa,100,maximin_typeA,maximin,baseline,1.0,0.2751297145815912,1
round10,gptoss,BaBa,100,maximin_typeA,maximin,baseline,1.0,0.2337063630571929,1
all10,gptoss,BaBa,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.3151599248796928,10
round1,gptoss,BaBa,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.3415824947058962,1
round10,gptoss,BaBa,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.3276682738533293,1
all10,gptoss,BaBa,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.4,0.22046336024408145,10
round1,gptoss,BaBa,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.3208212915263248,1
round10,gptoss,BaBa,100,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.3276682697766404,1
all10,gptoss,BaBa,200,baseline,baseline,baseline,1.0,0.15436299076372856,10
round1,gptoss,BaBa,200,baseline,baseline,baseline,1.0,0.20181323131290294,1
round10,gptoss,BaBa,200,baseline,baseline,baseline,1.0,0.1561048948025408,1
all10,gptoss,BaBa,200,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.14178902875609292,10
round1,gptoss,BaBa,200,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.11920291826369951,1
round10,gptoss,BaBa,200,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.12852513620526274,1
all10,gptoss,BaBa,200,level1_typeA,level1,baseline,1.0,0.14483385453292938,10
round1,gptoss,BaBa,200,level1_typeA,level1,baseline,1.0,0.1259227717915057,1
round10,gptoss,BaBa,200,level1_typeA,level1,baseline,1.0,0.15817434895441612,1
all10,gptoss,BaBa,200,level2_typeA,level2,baseline,1.0,0.12940417619325228,10
round1,gptoss,BaBa,200,level2_typeA,level2,baseline,1.0,0.18242552207410348,1
round10,gptoss,BaBa,200,level2_typeA,level2,baseline,1.0,0.1540575606732158,1
all10,gptoss,BaBa,200,loss_aversion_typeA,loss_aversion,baseline,1.0,0.16944460036466294,10
round1,gptoss,BaBa,200,loss_aversion_typeA,loss_aversion,baseline,1.0,0.20561503311854543,1
round10,gptoss,BaBa,200,loss_aversion_typeA,loss_aversion,baseline,1.0,0.148047196070116,1
all10,gptoss,BaBa,200,maximin_typeA,maximin,baseline,1.0,0.1990417885592587,10
round1,gptoss,BaBa,200,maximin_typeA,maximin,baseline,1.0,0.10743746611161946,1
round10,gptoss,BaBa,200,maximin_typeA,maximin,baseline,1.0,0.24508501945539204,1
all10,gptoss,BaBa,200,risk_aversion_typeA,risk_aversion,baseline,1.0,0.15323733194615177,10
round1,gptoss,BaBa,200,risk_aversion_typeA,risk_aversion,baseline,1.0,0.20434190173496336,1
round10,gptoss,BaBa,200,risk_aversion_typeA,risk_aversion,baseline,1.0,0.1127954063587123,1
all10,gptoss,BaBa,200,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.21556781441625592,10
round1,gptoss,BaBa,200,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.14608723913178934,1
round10,gptoss,BaBa,200,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.23934935170887453,1
all10,gptoss,BaBa,300,baseline,baseline,baseline,1.0,0.6331343336537929,10
round1,gptoss,BaBa,300,baseline,baseline,baseline,1.0,0.6297745925958774,1
round10,gptoss,BaBa,300,baseline,baseline,baseline,1.0,0.6442251254364472,1
all10,gptoss,BaBa,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.7059029134070923,10
round1,gptoss,BaBa,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.600188352813549,1
round10,gptoss,BaBa,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.6926419868101045,1
all10,gptoss,BaBa,300,level1_typeA,level1,baseline,1.0,0.6640593935466905,10
round1,gptoss,BaBa,300,level1_typeA,level1,baseline,1.0,0.712232161083568,1
round10,gptoss,BaBa,300,level1_typeA,level1,baseline,1.0,0.6150878816710912,1
all10,gptoss,BaBa,300,level2_typeA,level2,baseline,1.0,0.48364862869319863,10
round1,gptoss,BaBa,300,level2_typeA,level2,baseline,1.0,0.5389832238185714,1
round10,gptoss,BaBa,300,level2_typeA,level2,baseline,1.0,0.5156199143012904,1
all10,gptoss,BaBa,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.7525647199862948,10
round1,gptoss,BaBa,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.6859494418549706,1
round10,gptoss,BaBa,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.7185943902352409,1
all10,gptoss,BaBa,300,maximin_typeA,maximin,baseline,1.0,0.9852818854023102,10
round1,gptoss,BaBa,300,maximin_typeA,maximin,baseline,1.0,1.0,1
round10,gptoss,BaBa,300,maximin_typeA,maximin,baseline,1.0,0.9845754485755689,1
all10,gptoss,BaBa,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.7191476760885913,10
round1,gptoss,BaBa,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.712232199374282,1
round10,gptoss,BaBa,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.7248702433405402,1
all10,gptoss,BaBa,300,selfish_maximizer_typeA,selfish_maximizer,baseline,0.2,0.8829764680908999,10
round1,gptoss,BaBa,300,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.8479677627587205,1
round10,gptoss,BaBa,300,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.8740772400803406,1
all10,gptoss,ChAs,100,baseline,baseline,baseline,0.0,0.6483960731927496,10
round1,gptoss,ChAs,100,baseline,baseline,baseline,0.0,0.7217432111705281,1
round10,gptoss,ChAs,100,baseline,baseline,baseline,0.0,0.43782349423970796,1
all10,gptoss,ChAs,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.6658411114459601,10
round1,gptoss,ChAs,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.6601724084308032,1
round10,gptoss,ChAs,100,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.6261241853624002,1
all10,gptoss,ChAs,100,level1_typeA,level1,baseline,0.0,0.7583248901945069,10
round1,gptoss,ChAs,100,level1_typeA,level1,baseline,0.0,0.7918210656204162,1
round10,gptoss,ChAs,100,level1_typeA,level1,baseline,0.0,0.775944543783639,1
all10,gptoss,ChAs,100,level2_typeA,level2,baseline,0.0,0.7436957723439026,10
round1,gptoss,ChAs,100,level2_typeA,level2,baseline,0.0,0.7025300637148189,1
round10,gptoss,ChAs,100,level2_typeA,level2,baseline,0.0,0.6477982253164322,1
all10,gptoss,ChAs,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.6668604515077341,10
round1,gptoss,ChAs,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.7310585854329661,1
round10,gptoss,ChAs,100,loss_aversion_typeA,loss_aversion,baseline,0.0,0.5195213304266445,1
all10,gptoss,ChAs,100,maximin_typeA,maximin,baseline,0.0,0.7505016821480855,10
round1,gptoss,ChAs,100,maximin_typeA,maximin,baseline,0.0,0.9669140179176906,1
round10,gptoss,ChAs,100,maximin_typeA,maximin,baseline,0.0,0.6859494482922741,1
all10,gptoss,ChAs,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.7028795388550718,10
round1,gptoss,ChAs,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.6584174976825207,1
round10,gptoss,ChAs,100,risk_aversion_typeA,risk_aversion,baseline,0.0,0.7634837581724989,1
all10,gptoss,ChAs,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.6889860436005856,10
round1,gptoss,ChAs,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.8068526264604107,1
round10,gptoss,ChAs,100,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.73411953175945,1
all10,gptoss,ChAs,200,baseline,baseline,baseline,0.0,0.24648768346017227,10
round1,gptoss,ChAs,200,baseline,baseline,baseline,0.0,0.25982564135582326,1
round10,gptoss,ChAs,200,baseline,baseline,baseline,0.0,0.16026604227008795,1
all10,gptoss,ChAs,200,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.31856898990481675,10
round1,gptoss,ChAs,200,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.3293917067171812,1
round10,gptoss,ChAs,200,inequity_aversion_typeA,inequity_aversion,baseline,0.0,0.25982563136246495,1
all10,gptoss,ChAs,200,level1_typeA,level1,baseline,0.0,0.20392763818186593,10
round1,gptoss,ChAs,200,level1_typeA,level1,baseline,0.0,0.2018132205914901,1
round10,gptoss,ChAs,200,level1_typeA,level1,baseline,0.0,0.17781087435757378,1
all10,gptoss,ChAs,200,level2_typeA,level2,baseline,0.0,0.2682278048748509,10
round1,gptoss,ChAs,200,level2_typeA,level2,baseline,0.0,0.28776781421179276,1
round10,gptoss,ChAs,200,level2_typeA,level2,baseline,0.0,0.18713270175514277,1
all10,gptoss,ChAs,200,loss_aversion_typeA,loss_aversion,baseline,0.0,0.3889462529942044,10
round1,gptoss,ChAs,200,loss_aversion_typeA,loss_aversion,baseline,0.0,0.2845759845953268,1
round10,gptoss,ChAs,200,loss_aversion_typeA,loss_aversion,baseline,0.0,0.37022541331571773,1
all10,gptoss,ChAs,200,maximin_typeA,maximin,baseline,0.1,0.2594046504642501,10
round1,gptoss,ChAs,200,maximin_typeA,maximin,baseline,1.0,0.9999999999999972,1
round10,gptoss,ChAs,200,maximin_typeA,maximin,baseline,0.0,0.09138210175389934,1
all10,gptoss,ChAs,200,risk_aversion_typeA,risk_aversion,baseline,0.0,0.1927977371567498,10
round1,gptoss,ChAs,200,risk_aversion_typeA,risk_aversion,baseline,0.0,0.15405756907003393,1
round10,gptoss,ChAs,200,risk_aversion_typeA,risk_aversion,baseline,0.0,0.1755380833683232,1
all10,gptoss,ChAs,200,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.10009758264088844,10
round1,gptoss,ChAs,200,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.08632347612292426,1
round10,gptoss,ChAs,200,selfish_maximizer_typeA,selfish_maximizer,baseline,0.0,0.09534946517275036,1
all10,gptoss,ChAs,300,baseline,baseline,baseline,1.0,0.9269699774350352,10
round1,gptoss,ChAs,300,baseline,baseline,baseline,1.0,0.9372107891069879,1
round10,gptoss,ChAs,300,baseline,baseline,baseline,1.0,0.9219218389130811,1
all10,gptoss,ChAs,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.9166268412822077,10
round1,gptoss,ChAs,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.8976952951918818,1
round10,gptoss,ChAs,300,inequity_aversion_typeA,inequity_aversion,baseline,1.0,0.9441768537160387,1
all10,gptoss,ChAs,300,level1_typeA,level1,baseline,1.0,0.8805042598147518,10
round1,gptoss,ChAs,300,level1_typeA,level1,baseline,1.0,0.8459424381466581,1
round10,gptoss,ChAs,300,level1_typeA,level1,baseline,1.0,0.9173026514988397,1
all10,gptoss,ChAs,300,level2_typeA,level2,baseline,1.0,0.9044917137843633,10
round1,gptoss,ChAs,300,level2_typeA,level2,baseline,1.0,0.9372107905600485,1
round10,gptoss,ChAs,300,level2_typeA,level2,baseline,1.0,0.921921835510748,1
all10,gptoss,ChAs,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.9230008688688089,10
round1,gptoss,ChAs,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.8824278659911345,1
round10,gptoss,ChAs,300,loss_aversion_typeA,loss_aversion,baseline,1.0,0.9273632935713603,1
all10,gptoss,ChAs,300,maximin_typeA,maximin,baseline,1.0,0.9198816499660261,10
round1,gptoss,ChAs,300,maximin_typeA,maximin,baseline,1.0,0.9896718467997472,1
round10,gptoss,ChAs,300,maximin_typeA,maximin,baseline,1.0,0.9343951635643771,1
all10,gptoss,ChAs,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.9036306886358171,10
round1,gptoss,ChAs,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.9184802424705041,1
round10,gptoss,ChAs,300,risk_aversion_typeA,risk_aversion,baseline,1.0,0.9184802329695393,1
all10,gptoss,ChAs,300,selfish_maximizer_typeA,selfish_maximizer,baseline,1.0,0.9083519095923007,10
