sample,agent_kind,condition,trait_p1,trait_p2,game_code,bruns_name,canonical_id,nagel_lk_type,griffiths_game_id,griffiths_unique_id,griffiths_role,n_pooled,matrix_8vec,payoff_kind,realized_p1,realized_p2,pref0_p1,pref0_p2,ne_count,ne_kind,ne1_p1,ne1_p2,ne2_p1,ne2_p2,ne3_p1,ne3_p2,dom_p1,dom_p2,l1_p1,l1_p2,l2_p1,l2_p2,l3_p1,l3_p2,l1alpha_p1,l1alpha_p2,maximin_p1,maximin_p2,equalsplit_p1,equalsplit_p2,target_paydom_p1,target_paydom_p2,target_riskdom_p1,target_riskdom_p2,target_p1,target_p2,in_model_set,dominance_profile,iesds_depth,num_pure_ne,pure_ne_cells,ne_pareto_rankable,ne_distributional_conflict,payoff_variance,payoff_conflict,p1_maximin_action,p2_maximin_action,joint_maximin_cell,maximin_is_ne,maximin_to_ne_action_distance,maximin_to_ne_payoff_distance,l1_action_p1,l1_action_p2,l2_action_p1,l2_action_p2,near_equal_split_cell,pareto_efficient_cells,source,frac_choose_A,entropy_binary,lk_type,emp_class,up_choice,topology,delta_norm,dominant_action_p1,dominant_action_p2,nash_action_p1,nash_action_p2,payoff_dominant_ne_p1,payoff_dominant_ne_p2,risk_dominant_ne_p1,risk_dominant_ne_p2,l0_action_p1,l0_action_p2,cooperative_action_p1,cooperative_action_p2,canonical_action_p1,canonical_action_p2,complexity_score,complexity_score_n_components
gptoss,llm,loss_aversion_typeA,loss_aversion,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5389863866087226,0.4993947960275173,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,loss_aversion_typeB,loss_aversion,loss_aversion,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5389863866087226,0.5474033659112537,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,maximin_typeA,maximin,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.6666666666666666,0.3333333333333333,0.2057072234246431,0.554021010174296,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,1.0,0.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,maximin_typeB,maximin,maximin,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.6666666666666666,0.3333333333333333,0.2057072234246431,0.634888990025785,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,1.0,0.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,risk_aversion_typeA,risk_aversion,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5071184233385923,0.5105706387726366,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,risk_aversion_typeB,risk_aversion,risk_aversion,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.5071184233385923,0.4661472606074965,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,selfish_maximizer_typeA,selfish_maximizer,baseline,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.4144813045272559,0.554021010174296,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,selfish_maximizer_typeB,selfish_maximizer,selfish_maximizer,AsAs,AsAs,1,CO1,,,,3,"[1,4,3,2,2,4,3,1]",ordinal,0.3333333333333333,0.3333333333333333,0.4144813045272559,0.41821265510082867,3,two_pure_plus_mixed,0.0,1.0,1.0,0.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,,,0.0,1.0,True,2,0,2,"(0,1);(1,0)",True,False,1.25,0.2,1,0,"(1,0)",True,0.0,0.0,-1,-1,-1,-1,"(0,1)","(0,1)",bruns,,,,,,,,,,,,0.0,1.0,,,0,1,,,0,1,-0.5169508502148299,4
gptoss,llm,baseline,baseline,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3657107622485878,0.3816788238067272,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,inequity_aversion_typeA,inequity_aversion,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.34665694176780776,0.3878429639723297,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,inequity_aversion_typeB,inequity_aversion,inequity_aversion,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3144128918321358,0.3314181322199391,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,length_match_null_typeA,length_match_null,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3501906605193148,0.3725535624332868,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,level0_naive_typeA,level0_naive,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3655137425083492,0.3732207798426112,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,level0_naive_typeB,level0_naive,level0_naive,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3655137425083492,0.3440336832883966,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,level1_typeA,level1,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.39038343344777154,0.3732207798426112,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,level1_typeB,level1,level1,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.3333333333333333,0.6666666666666666,0.3735681395333928,0.3691051551982219,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,level2_typeA,level2,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.34870299225038565,0.38367891429111894,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,level2_typeB,level2,level2,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.34870299225038565,0.36136222789697064,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,loss_aversion_typeA,loss_aversion,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.34575014408703303,0.3740634924090558,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,loss_aversion_typeB,loss_aversion,loss_aversion,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.34575014408703303,0.3317400503364897,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,maximin_typeA,maximin,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.0,0.6666666666666666,0.12098973833136106,0.3819541051933728,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,maximin_typeB,maximin,maximin,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.0,0.3333333333333333,0.12098973833136106,0.9991965357359264,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,risk_aversion_typeA,risk_aversion,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.40798887310678916,0.3878429639723297,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,risk_aversion_typeB,risk_aversion,risk_aversion,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.40798887310678916,0.39538046593161535,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,selfish_maximizer_typeA,selfish_maximizer,baseline,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3426493660478609,0.3819541051933728,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,selfish_maximizer_typeB,selfish_maximizer,selfish_maximizer,AsBa,AsBa,2,MP,,,,3,"[1,4,3,2,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3675585716193814,0.3500003802929974,1,unique_mixed,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.5,True,2,0,0,,,,1.25,1.7999999999999998,1,1,"(1,1)",False,,,-1,-1,-1,-1,"(1,1)","(0,0);(0,1);(1,1)",bruns,,,,,,,,,,,,,,,,0,0,,,1,1,0.5678259637502947,3
gptoss,llm,baseline,baseline,baseline,BaBa,BaBa,14,CO2,,,,3,"[3,2,1,4,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.45166939632763164,0.4580301861532359,3,two_pure_plus_mixed,0.0,0.0,1.0,1.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.5,,,,,1.0,1.0,True,2,0,2,"(0,0);(1,1)",False,True,1.25,0.2,0,1,"(0,1)",False,1.0,3.0,-1,-1,-1,-1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,-0.0169508502148298,4
gptoss,llm,inequity_aversion_typeA,inequity_aversion,baseline,BaBa,BaBa,14,CO2,,,,3,"[3,2,1,4,4,2,1,3]",ordinal,0.6666666666666666,0.6666666666666666,0.3857382567421277,0.4601357718711636,3,two_pure_plus_mixed,0.0,0.0,1.0,1.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.5,,,,,1.0,1.0,True,2,0,2,"(0,0);(1,1)",False,True,1.25,0.2,0,1,"(0,1)",False,1.0,3.0,-1,-1,-1,-1,"(0,1)","(0,0);(1,1)",bruns,,,,,,,,,,,,,,,,1,0,,,0,1,-0.0169508502148298,4
